GO.ID	pValue
GO:0071824	4.4e-06
GO:0065004	1.4e-05
GO:0006334	8.6e-05
GO:0048235	9.7e-05
GO:0055046	0.00022
GO:0034728	0.00054
GO:0009303	0.00115
GO:0022603	0.00144
GO:0051304	0.00153
GO:0009292	0.00169
GO:0022412	0.00183
GO:0051129	0.00417
GO:0050817	0.00513
GO:0048871	0.00546
GO:0050878	0.00686
GO:0008360	0.00968
GO:2001251	0.01388
GO:0010639	0.01429
GO:0009566	0.01463
GO:1903046	0.01718
GO:0032196	0.0176
GO:0019684	0.01769
GO:0000075	0.01981
GO:0045471	0.02229
GO:0008612	0.0229
GO:0045930	0.02321
GO:1901983	0.02386
GO:0007163	0.02421
GO:0044848	0.025
GO:0008033	0.0253
GO:0046516	0.02534
GO:0046685	0.02657
GO:0051985	0.02701
GO:0051784	0.0273
GO:1901984	0.02979
GO:0071668	0.03089
GO:0009767	0.03123
GO:0051983	0.03372
GO:0045839	0.03399
GO:0007088	0.03905
GO:0000723	0.04312
GO:0006855	0.0437
GO:0006312	0.04438
GO:0030198	0.04522
GO:0051321	0.04578
GO:0000819	0.04761
GO:0006289	0.04935
