GO.ID	pValue
GO:0071824	7e-05
GO:0055046	8e-05
GO:0048235	9.7e-05
GO:0065004	0.00017
GO:0022412	0.00021
GO:0006334	0.00028
GO:0009303	0.00049
GO:0051304	0.00064
GO:1903046	0.00087
GO:0051129	0.00145
GO:0051321	0.00219
GO:0050878	0.00236
GO:0050817	0.0028
GO:0048871	0.00298
GO:0008360	0.00335
GO:0034728	0.00365
GO:0010639	0.00526
GO:0007059	0.00688
GO:0000075	0.00699
GO:0009292	0.00794
GO:2001251	0.00807
GO:0007163	0.00833
GO:0044848	0.00883
GO:0032196	0.01009
GO:0051656	0.01763
GO:0009566	0.02005
GO:0007155	0.02128
GO:1901420	0.02254
GO:0045930	0.02321
GO:1901983	0.02386
GO:0051640	0.02707
GO:0000819	0.0288
GO:0140013	0.0292
GO:1901984	0.02979
GO:0045839	0.03399
GO:0022603	0.03546
GO:0034508	0.03578
GO:0000723	0.03598
GO:0045927	0.03715
GO:1902025	0.03791
GO:1901419	0.03823
GO:0022604	0.03863
GO:0007088	0.03905
GO:0010167	0.0404
GO:0016072	0.04214
GO:0051784	0.04345
GO:0033044	0.04923
GO:0006289	0.04935
