GO.ID	pValue
GO:0071258	6.1e-07
GO:0006334	0.00019
GO:0009303	9e-04
GO:0048235	0.00127
GO:0042908	0.00138
GO:0019684	0.00164
GO:0034728	0.00188
GO:0071806	0.00209
GO:0006855	0.00255
GO:0051304	0.00294
GO:0055046	0.00333
GO:0033014	0.00366
GO:0000723	0.00389
GO:0071366	0.00595
GO:0033013	0.00638
GO:0042343	0.00759
GO:2000278	0.00979
GO:0044743	0.01034
GO:0042436	0.01113
GO:1903046	0.01249
GO:0032200	0.01292
GO:0080026	0.01576
GO:0016072	0.01656
GO:0006839	0.01673
GO:0065002	0.01698
GO:0042177	0.01746
GO:2001057	0.01796
GO:0000075	0.01981
GO:0043248	0.02079
GO:0046903	0.02096
GO:0000819	0.02123
GO:0016143	0.0228
GO:0016145	0.02352
GO:0009767	0.02455
GO:0070574	0.02492
GO:0019760	0.02492
GO:0046516	0.02534
GO:0051341	0.02546
GO:0044273	0.02551
GO:0051784	0.0273
GO:0051098	0.02732
GO:0050817	0.02838
GO:0034508	0.02919
GO:0140013	0.0292
GO:0008612	0.02991
GO:0050878	0.03114
GO:0035966	0.03156
GO:0022412	0.03168
GO:0016108	0.03201
GO:0016109	0.03247
GO:1900376	0.03299
GO:0045839	0.03399
GO:0009251	0.03443
GO:0042430	0.03522
GO:0048871	0.03628
GO:0051321	0.03668
GO:0033044	0.03675
GO:0071824	0.03812
GO:0044848	0.03854
GO:0050879	0.03891
GO:0007088	0.03905
GO:0072655	0.04032
GO:0007163	0.0404
GO:0009772	0.04155
GO:0006515	0.04189
GO:0006626	0.04206
GO:0008360	0.0431
GO:0017038	0.04457
GO:0043455	0.04561
