GO.ID	pValue
GO:0071258	6.1e-07
GO:0055046	4.2e-05
GO:0042908	8.4e-05
GO:0006855	0.00023
GO:0006334	3e-04
GO:0019684	0.00052
GO:0048235	0.00075
GO:0009303	0.00115
GO:0071824	0.00318
GO:0022412	0.00392
GO:0071366	0.00402
GO:0034728	0.00491
GO:0051304	0.00494
GO:0080026	0.00709
GO:0042343	0.00759
GO:0065004	0.00764
GO:0051129	0.00878
GO:1903046	0.00917
GO:0000723	0.00981
GO:0042436	0.00988
GO:0009767	0.01157
GO:2000278	0.01257
GO:0050817	0.01367
GO:2001251	0.01388
GO:0006839	0.01448
GO:0072655	0.01459
GO:0006626	0.01524
GO:0033044	0.01567
GO:2001057	0.01655
GO:0048871	0.01678
GO:0043038	0.01715
GO:0042177	0.01746
GO:0043467	0.01935
GO:0000075	0.01981
GO:0051321	0.0211
GO:0006515	0.02116
GO:0032196	0.02164
GO:0071806	0.02362
GO:0010639	0.02458
GO:0070574	0.02492
GO:0006869	0.02677
GO:0050879	0.02678
GO:1900376	0.02793
GO:0006090	0.02845
GO:0009629	0.02867
GO:0044273	0.02909
GO:0140013	0.0292
GO:0032200	0.02976
GO:1901984	0.02979
GO:0019760	0.03111
GO:0050878	0.03114
GO:0042430	0.03156
GO:0044848	0.03188
GO:0016108	0.03201
GO:0016109	0.03247
GO:0016145	0.03343
GO:0045839	0.03399
GO:0009292	0.034
GO:0010304	0.03517
GO:0007163	0.03558
GO:0016143	0.03627
GO:0006418	0.03761
GO:0010109	0.03799
GO:0007088	0.03905
GO:0043455	0.03972
GO:0009566	0.04029
GO:0010587	0.04065
GO:0007018	0.04144
GO:1901699	0.04229
GO:0008360	0.0431
GO:0051784	0.04345
GO:0031032	0.04719
GO:1901983	0.04719
GO:0000819	0.04761
GO:0044743	0.04784
