GO.ID	pValue
GO:0006790	0.0026
GO:0045103	0.003
GO:1902930	0.0036
GO:0034655	0.0037
GO:1903409	0.0045
GO:0040007	0.005
GO:0097194	0.0055
GO:0007300	0.0062
GO:0019226	0.0064
GO:1902931	0.0069
GO:0007272	0.0084
GO:0019692	0.0088
GO:0001541	0.0089
GO:0007566	0.0096
GO:0045833	0.0106
GO:0051055	0.0135
GO:0045932	0.0141
GO:0003006	0.0146
GO:2000379	0.0146
GO:0072529	0.0148
GO:0009611	0.0153
GO:0046890	0.0154
GO:0002576	0.0157
GO:0048678	0.0157
GO:0046660	0.0163
GO:0062014	0.0172
GO:2000377	0.0174
GO:0000912	0.0182
GO:0019216	0.0183
GO:0044837	0.0185
GO:1990748	0.0185
GO:0098754	0.0191
