region	chr	midPos	Nsites
(811,1033)(270399,270759)(250000,300000)	JASDQU010010013.1	275000	224	0.082552
(150,2245)(154316,163289)(150000,200000)	JASDQU010010031.1	175000	2097	0.310520
(1489,1906)(191701,192313)(150000,200000)	JASDQU010010034.1	175000	419	0.009272
(604,1273)(211015,211701)(200000,250000)	JASDQU010010035.1	225000	671	0.151463
(189,210)(128800,128828)(100000,150000)	JASDQU010010040.1	125000	23	0.103510
(428,837)(176403,188476)(150000,200000)	JASDQU010010049.1	175000	411	0.042727
(1749,2106)(153670,154097)(150000,200000)	JASDQU010010054.1	175000	359	0.041339
(3,194)(121613,122088)(100000,150000)	JASDQU010010055.1	125000	193	0.213328
(489,1652)(163221,185195)(150000,200000)	JASDQU010010058.1	175000	1165	0.722922
(111,683)(248662,249459)(200000,250000)	JASDQU010010065.1	225000	574	0.335589
(684,749)(285343,285428)(250000,300000)	JASDQU010010065.1	275000	67	0.209554
(530,668)(75207,75350)(50000,100000)	JASDQU010010068.1	75000	140	0.077933
(311,430)(53669,53801)(50000,100000)	JASDQU010010095.1	75000	121	0.332666
(127,435)(50892,51219)(50000,100000)	JASDQU010010137.1	75000	310	0.405278
(972,1767)(57758,58573)(50000,100000)	JASDQU010010145.1	75000	797	0.236034
(555,1365)(250025,268125)(250000,300000)	JASDQU010010146.1	275000	812	0.231348
(1598,2175)(225433,227059)(200000,250000)	JASDQU010010155.1	225000	579	0.710364
(3,308)(335969,336419)(300000,350000)	JASDQU010010181.1	325000	307	0.031301
(1094,2323)(250000,296920)(250000,300000)	JASDQU010010184.1	275000	1231	0.561455
(1765,1765)(148770,148770)(100000,150000)	JASDQU010010186.1	125000	2	0.059626
(2274,2891)(50000,87834)(50000,100000)	JASDQU010010197.1	75000	619	0.616588
(257,345)(165279,165381)(150000,200000)	JASDQU010010218.1	175000	90	0.245314
(6286,6458)(100932,101107)(100000,150000)	JASDQU010010227.1	125000	174	0.034971
(244,1092)(77884,78991)(50000,100000)	JASDQU010010231.1	75000	850	0.022450
(1093,2716)(302134,303894)(300000,350000)	JASDQU010010231.1	325000	1625	0.216872
(2717,3309)(487319,487979)(450000,500000)	JASDQU010010231.1	475000	594	-0.001070
(3310,3559)(503233,503691)(500000,550000)	JASDQU010010231.1	525000	251	0.010039
(2043,2392)(120117,120483)(100000,150000)	JASDQU010010234.1	125000	351	0.521577
(235,1427)(194180,196429)(150000,200000)	JASDQU010010245.1	175000	1194	0.409050
(330,1125)(56941,62784)(50000,100000)	JASDQU010010265.1	75000	797	0.192514
(119,648)(251353,251920)(250000,300000)	JASDQU010010271.1	275000	531	0.180987
(464,1312)(53704,54598)(50000,100000)	JASDQU010010292.1	75000	850	0.170847
(717,1208)(106723,107259)(100000,150000)	JASDQU010010310.1	125000	493	0.062668
(529,1177)(245600,246261)(200000,250000)	JASDQU010010323.1	225000	650	0.003663
(145,634)(292688,294077)(250000,300000)	JASDQU010010346.1	275000	491	0.085021
(656,1370)(78474,79196)(50000,100000)	JASDQU010010379.1	75000	716	0.664015
(347,1073)(75791,76540)(50000,100000)	JASDQU010010393.1	75000	728	0.368458
(283,308)(213048,213084)(200000,250000)	JASDQU010010405.1	225000	27	0.053541
(736,760)(99537,99567)(50000,100000)	JASDQU010010406.1	75000	26	0.044606
(2,552)(203572,204284)(200000,250000)	JASDQU010010416.1	225000	552	0.023006
(402,582)(91278,91461)(50000,100000)	JASDQU010010419.1	75000	182	0.023212
(501,1296)(220858,237415)(200000,250000)	JASDQU010010437.1	225000	797	0.182389
(296,397)(217922,218050)(200000,250000)	JASDQU010010510.1	225000	103	0.043323
(398,839)(296521,297238)(250000,300000)	JASDQU010010510.1	275000	443	0.035993
(1857,2948)(294833,296677)(250000,300000)	JASDQU010010524.1	275000	1093	0.069222
(145,3012)(50000,82980)(50000,100000)	JASDQU010010538.1	75000	2869	0.040701
(3013,4100)(294011,295135)(250000,300000)	JASDQU010010538.1	275000	1089	0.449010
(4101,5300)(437597,444979)(400000,450000)	JASDQU010010538.1	425000	1201	0.269628
(585,6166)(225476,234732)(200000,250000)	JASDQU010010545.1	225000	5583	0.396644
(368,861)(229264,230183)(200000,250000)	JASDQU010010551.1	225000	495	0.015036
(163,1814)(59736,97147)(50000,100000)	JASDQU010010577.1	75000	1653	0.361077
(426,429)(75771,75775)(50000,100000)	JASDQU010010589.1	75000	5	0.042582
(216,395)(111398,111652)(100000,150000)	JASDQU010010590.1	125000	181	0.134289
(274,1775)(181666,183544)(150000,200000)	JASDQU010010591.1	175000	1503	0.797165
(1125,1318)(78131,78324)(50000,100000)	JASDQU010010600.1	75000	195	0.023351
(56,130)(68595,74224)(50000,100000)	JASDQU010010616.1	75000	76	0.075460
(2327,2358)(108812,108844)(100000,150000)	JASDQU010010631.1	125000	33	0.257501
(744,1256)(236016,236567)(200000,250000)	JASDQU010010639.1	225000	514	0.555257
(2457,3313)(203249,204128)(200000,250000)	JASDQU010010645.1	225000	858	0.026705
(845,3523)(161638,166480)(150000,200000)	JASDQU010010666.1	175000	2680	0.595856
(3524,3586)(397052,397119)(350000,400000)	JASDQU010010666.1	375000	64	0.079413
(3587,3603)(420765,420789)(400000,450000)	JASDQU010010666.1	425000	18	0.058573
(403,778)(75071,75463)(50000,100000)	JASDQU010010688.1	75000	377	0.040303
(55,1434)(212693,214082)(200000,250000)	JASDQU010010690.1	225000	1381	0.569405
(2,562)(150039,150628)(150000,200000)	JASDQU010010711.1	175000	562	0.283345
(613,672)(88271,88334)(50000,100000)	JASDQU010010712.1	75000	61	0.061521
(706,713)(194739,194746)(150000,200000)	JASDQU010010722.1	175000	9	0.084371
(248,754)(100000,100512)(100000,150000)	JASDQU010010736.1	125000	508	0.161660
(930,1066)(58006,58163)(50000,100000)	JASDQU010010737.1	75000	138	0.063459
(819,1622)(196222,197033)(150000,200000)	JASDQU010010770.1	175000	805	0.013522
(959,1956)(50752,51802)(50000,100000)	JASDQU010010788.1	75000	999	0.140501
(442,666)(160582,160827)(150000,200000)	JASDQU010010812.1	175000	226	0.043836
(667,698)(210078,210125)(200000,250000)	JASDQU010010812.1	225000	33	0.321674
(1684,1768)(117899,118255)(100000,150000)	JASDQU010010819.1	125000	86	0.085693
(163,2593)(109772,114161)(100000,150000)	JASDQU010010860.1	125000	2432	0.274204
(3379,3404)(110340,110368)(100000,150000)	JASDQU010010870.1	125000	27	0.045960
(1874,4111)(82505,94481)(50000,100000)	JASDQU010010883.1	75000	2239	0.139753
(697,739)(181604,181650)(150000,200000)	JASDQU010010912.1	175000	44	0.118866
(461,1175)(145025,145744)(100000,150000)	JASDQU010010916.1	125000	716	0.152897
